Q1,Q2,Q3,Q4,Q5,Q6,X,Y,Z,Rx,Ry,Rz
1.048,-0.0965,0.8757,-0.9865,-1.2988,-0.7118,0.20031,0.04708,0.95171,6.48653,55.37854,-8.8336
1.8443,0.1976,0.7328,1.1097,-0.7141,-0.3215,0.1,-46.41047,-6.39758,135.977852036,0.1265,1.03088
3.0274,-1.1621,0.5175,-0.8999,1.26,-1.9082,-0.42728,0.20004,0.60855,51.92846,-13.29673,24.8778
2.8585,0.3636,-0.9494,1.5617,-1.3004,0.0618,-0.59106,0.32821,1.17398,70.09964,50.23345,-40.9063
2.3544,1.562,0.4571,-0.9722,0.6521,0.1336,0.38448,-0.17328,0.93475,132.22594,-13.79733,-8.74603
0.1528,0.5651,1.5171,0.1931,1.3018,2.3089,0.00127,-0.15162,0.70944,162.92609,-2.3281,52.56334
1.8801,-1.0916,0.4932,-0.5245,0.3021,-2.4101,0.00318,0.48299,0.634,3.87062,-20.60508,-58.53364
0.6084,0.9772,-0.7988,1.1889,-0.873,-1.7476,0.23747,-0.01746,1.45831,-44.51527,-16.69424,5.3538
0.1052,-0.1724,-0.6114,-0.8027,-0.3579,0.3957,0.75626,-0.07103,0.88924,-21.72087,58.0551,-35.93809
0.8567,-0.5845,0.7106,-0.3951,1.4425,1.29,0.32687,0.14804,0.86449,-89.28516,-18.8619,116.41121
0.7911,-0.0483,0.6985,-0.2465,-0.2905,-0.9002,0.23752,0.02682,1.00697,20.81437,-5.28604,-20.03022
0.4189,0.6652,1.1718,-0.4686,0.5187,1.7236,-0.01405,-0.17051,0.84434,-134.09347,-19.67707,114.82888
1.8659,-0.7384,-1.4013,1.1859,0.4796,2.9876,-0.05194,0.68677,0.13147,-115.67878,-39.99484,7.1202
0.7457,1.4817,-0.0988,-0.9349,-0.8637,1.2875,-0.17881,-0.3694,1.20252,-0.67322,-55.60115,91.38027
1.8169,-1.2918,0.9858,1.1846,0.63,2.5415,0.08015,0.29682,0.66235,-30.62885,13.31869,-51.30311
2.4157,-1.4258,-0.8582,0.9363,-0.7735,-1.0318,-0.18136,0.36159,-0.0533,151.1932,26.91952,-27.77165
1.8705,-0.9689,-1.3613,0.822,-0.637,-1.0059,-0.01715,0.56374,0.0039,160.79714,26.22931,-55.99502
2.4727,1.1211,-1.5537,0.3575,-1.5365,3.0858,-0.21068,0.3578,1.44421,-165.25178,-68.0575,147.85998
2.4335,0.1233,-0.1046,-1.3132,-1.1782,-0.9559,-0.2372,0.40063,1.15704,-62.47991,33.13475,-10.3474
2.4666,0.1014,1.168,-1.4476,-0.2989,2.2233,0.0756,0.13169,0.86311,-61.86158,-47.55999,-132.25786
3.1343,0.3136,-0.7332,-0.742,-0.6533,-0.5374,-0.60408,0.15446,1.19111,-49.82417,32.73544,84.84788
0.1099,1.0047,-1.4294,-1.4512,1.5438,1.5914,0.44189,-0.1022,1.42135,-85.32065,25.32518,13.91551
2.4568,-0.8813,-0.7811,-1.5562,1.3964,-2.3687,-0.44946,0.56076,0.27895,90.13774,-49.59719,-49.36698
0.573,0.5271,0.4858,-0.7193,-0.7327,1.5159,0.09615,-0.11654,1.13486,-6.22327,-34.38254,94.18319
2.6731,1.4833,-1.564,-1.5516,0.8167,1.3635,-0.01502,0.17577,1.53074,-46.74614,-4.03916,146.12666
1.1848,1.3308,1.377,0.6448,-0.2784,0.3223,0.10239,-0.14661,0.70798,-151.65121,-27.57206,-176.79887
0.546,-0.6994,-1.1954,1.4788,0.0535,2.5715,0.7046,0.25255,0.23714,-112.98394,-36.65574,-47.72123
1.3345,-0.9713,0.3225,-0.0347,-0.109,2.6801,0.26778,0.47112,0.64712,24.08255,-37.28392,-140.27471
1.9036,-0.8478,-1.2704,-0.8073,-1.3102,1.8875,-0.06852,0.65753,0.10598,-168.66663,44.06125,-155.22354
0.5133,-0.6104,-0.5218,1.2661,0.8249,-2.3091,0.72997,0.23924,0.58932,-44.95374,46.43849,-77.99266
2.7212,-1.5342,-1.393,1.5149,0.6168,0.4448,-0.01894,0.17283,-0.18591,150.93874,25.31173,-146.95915
2.841,0.114,1.5608,0.2818,0.5174,0.7079,0.04689,0.14256,0.69631,-128.14221,-24.32793,-79.71743
1.728,0.5381,0.3719,0.4163,-0.3469,2.1015,0.14157,0.0653,1.17417,-16.5266,30.8927,-125.01168
2.4451,1.5459,-1.4407,0.0344,-0.2672,-3.1385,0.10731,0.10586,1.53504,0.1807,-9.286,-37.80029
1.1148,0.0033,-1.347,-0.5589,-0.9248,2.6891,0.51214,0.70343,0.7507,124.5658,-22.52284,109.27771
1.6656,0.9531,-0.7227,0.8541,1.2282,-2.5649,0.13317,0.18467,1.44887,74.54347,45.81156,40.49861
2.2559,0.4514,-1.395,-0.9818,-0.4224,0.627,-0.35842,0.67577,1.09717,-24.95873,67.22918,81.12283
1.4306,0.2872,1.0981,1.5052,0.9445,-1.5486,0.14766,-0.02744,0.89374,71.32147,-79.94615,64.44789
0.0272,-0.9362,-0.9279,0.2863,0.1616,-0.7707,0.66732,-0.13195,0.17982,-106.32199,60.68615,-105.39472
1.8247,-0.0185,-1.537,1.2255,-0.9301,2.6519,-0.07173,0.87378,0.65015,-109.77109,-39.18955,78.76118
1.1114,1.3848,-1.3867,1.3398,1.1225,0.8546,0.17926,0.02397,1.52794,-57.40255,-36.36433,-150.26979
0.6164,-0.0864,0.4278,0.101,-0.6903,1.1327,0.33541,0.05374,1.04824,17.52722,10.14573,106.89648
1.3527,-0.0016,-0.3303,0.0364,-0.1667,-1.2506,0.27452,0.54521,1.07276,-27.12657,9.3057,5.74501
2.2819,1.4539,-0.9319,1.0576,1.3264,1.3125,0.20985,-0.0137,1.4851,-91.62152,10.95314,-81.82676
2.9098,-1.1768,-0.7738,0.3001,1.4092,-1.554,-0.50984,0.27451,0.09418,-31.6995,16.44255,71.02621
3.1183,0.264,0.8989,0.6066,1.3684,-0.4859,-0.02502,0.15067,0.97443,-162.28919,-46.22391,22.75227
1.3096,-1.0658,-0.8707,-0.0775,-1.1184,-0.5732,0.30117,0.54563,0.12056,-173.85211,1.8627,-70.25494
1.9827,1.1447,1.3415,1.1632,-1.4324,0.3585,0.17785,-0.03229,0.73506,-80.90101,-34.76356,131.88115
1.5007,1.1005,0.5758,1.2449,0.5779,0.0362,0.13316,-0.2458,1.03147,-105.4401,-10.07385,-148.82061
2.1632,1.2142,-0.1086,-0.3829,-0.9272,2.1783,0.25071,-0.10377,1.28831,-18.08207,-11.24699,-121.15333
2.3291,-0.5244,-1.4896,1.5488,1.3469,-1.2066,-0.41037,0.65143,0.25212,-136.04512,83.95259,-80.29306
2.211,-1.3896,0.4996,-1.1038,1.2433,0.5099,-0.13422,0.43138,0.5031,-57.61719,-4.77598,124.90112
2.6021,-0.7542,0.4438,0.7502,-0.9374,-0.7986,-0.32267,0.36808,0.78114,-52.47168,50.98233,126.43222
2.9234,0.9161,-0.163,-1.0988,-0.8586,2.3805,0.04963,0.14269,1.34326,-15.71152,-42.28742,-96.01151
2.0685,0.8456,0.0288,-0.6476,0.4249,2.2753,0.14704,0.04366,1.28753,-70.2634,10.34957,-163.08322
