Q1,Q2,Q3,Q4,Q5,Q6,X,Y,Z
3.1132,0.2316,1.2687,1.0749,0.4834,0.3014,0.01328,0.14973,0.82161
1.7989,1.2535,0.5898,0.5794,-1.5245,2.4338,0.21097,-0.24525,0.98541
1.4539,1.1466,-0.6828,-0.4064,-1.5594,0.7731,0.14934,-0.01481,1.46062
1.1251,0.0263,0.7941,-0.1742,1.3042,-2.3757,0.19129,0.05232,0.99249
1.8141,-0.365,0.535,-0.189,0.778,-3.093,0.06124,0.37614,0.94671
1.5146,0.0114,-0.4014,0.3195,0.841,0.4012,0.18434,0.60531,1.06841
0.6055,1.0041,1.1547,-1.5356,-0.4109,3.06,-0.02866,-0.20233,0.8135
2.6262,0.3241,-0.2513,-1.5037,-0.9354,2.9139,-0.27248,0.3268,1.24147
1.7816,0.8179,0.4739,-1.3698,-0.2034,-0.2574,0.17064,-0.08034,1.12535
0.0854,-1.1963,0.1106,1.5398,0.3068,3.1113,0.5602,-0.10264,0.45334
0.684,0.3793,0.6998,-0.1797,1.5545,-2.2483,0.1181,-0.09731,1.05347
2.0411,0.838,-0.8107,0.2605,-1.0124,2.4982,-0.00099,0.33307,1.42498
2.5707,-1.0731,0.3926,-1.3707,0.5344,0.8726,-0.33424,0.39299,0.61526
2.823,0.7798,-0.1481,-0.3461,-1.0354,-2.1043,-0.01799,0.16393,1.33591
0.8863,0.2552,0.2071,-0.9807,0.9613,-0.7746,0.27015,0.0937,1.17636
0.6874,-1.4027,-0.5208,1.0093,1.4156,0.3993,0.45882,0.18254,0.07791
2.1436,-1.1188,0.315,1.0377,-1.2847,3.029,-0.15225,0.51293,0.56844
0.3533,-1.1608,-0.7988,0.3414,0.7503,1.4211,0.58108,0.05436,0.09334
1.7423,0.3217,-1.1625,-0.0601,1.5451,2.3271,0.02071,0.75963,1.08118
2.9212,0.3067,-1.39,-1.3084,0.5159,-1.7724,-0.75044,0.32189,0.98652
1.7167,1.3977,-1.5625,-1.1144,1.5513,1.8595,0.12443,0.18529,1.5198
1.9518,-0.828,0.3208,-0.1834,-1.4917,0.2085,-0.0539,0.53807,0.72135
0.2161,0.0559,0.86,-1.1636,-1.3416,0.3224,0.13085,-0.1249,0.97505
0.3222,-1.2709,0.5653,-0.3697,0.0705,-0.4698,0.44878,-0.00837,0.57483
0.3515,0.8417,0.8186,-1.1894,-1.1896,2.4261,-0.08374,-0.19053,0.97548
0.8274,0.1721,0.7029,-1.0192,-0.3407,1.8047,0.18289,-0.02278,1.03814
1.1165,1.0237,-1.1423,0.6175,-1.5522,-1.8102,0.26467,0.20002,1.46697
2.3499,-0.5002,-0.3121,-0.503,-1.4056,0.8317,-0.3895,0.60799,0.74701
2.3629,-0.1198,0.6732,0.4793,-0.1677,0.2937,-0.05052,0.26064,0.99824
0.698,0.6564,1.2828,-1.2416,-1.5358,-0.0492,0.04429,-0.1587,0.79878
1.5871,0.3095,-0.1066,1.1354,1.3633,1.9331,0.14442,0.34656,1.23038
0.8333,0.6107,1.2692,1.2333,0.369,-2.8957,0.06819,-0.14809,0.80742
2.2994,-0.1245,0.5191,-0.1292,0.651,-2.8205,-0.07528,0.30971,1.02463
2.7944,1.071,0.8514,-1.3424,1.106,2.6488,0.24423,0.0712,0.92116
2.9574,0.6496,-1.4336,-1.2895,1.1116,-1.4702,-0.62443,0.26897,1.22443
1.7285,0.7324,0.8416,-1.1286,1.1646,0.115,0.16559,-0.08585,0.97947
3.0312,-0.9139,1.1511,1.1306,0.4113,2.0354,-0.16431,0.16918,0.75437
0.849,0.1059,1.436,1.1161,0.4422,-0.0566,0.11154,-0.10038,0.75024
2.0615,0.2476,-0.9415,0.6055,-0.5912,3.1248,-0.20242,0.69728,1.09662
0.4167,0.461,-0.9704,0.9962,0.4819,1.6297,0.62312,0.11171,1.23099
0.226,-1.4482,-0.6128,-1.5225,0.2215,2.8941,0.44703,-0.05118,0.02207
2.0958,1.4766,1.4351,-0.0104,-0.6792,-1.2664,0.16871,0.0081,0.6859
2.2793,1.0541,0.5229,-0.9423,-0.3181,1.4098,0.25618,-0.06836,1.06488
0.6074,-0.3807,0.5119,0.946,-0.5028,-2.6677,0.38496,0.08483,0.94213
0.9769,-0.6002,-1.2888,-0.0447,1.3765,1.5711,0.54971,0.54598,0.27357
0.8832,-0.4341,0.7764,-0.7267,0.3366,1.3546,0.28474,0.11028,0.90378
1.774,0.2336,-0.5342,0.6821,-0.0211,0.0643,0.03247,0.58592,1.17821
0.3472,0.9249,1.5445,-1.2806,1.0602,-1.0783,0.02768,-0.14956,0.69142
0.1953,-0.8612,-0.3462,-0.0134,-0.1072,0.2677,0.70811,-0.01288,0.47877
0.2961,-1.191,0.37,1.1591,-0.9596,0.5491,0.51238,-0.00057,0.55021
2.4818,1.3246,-1.5699,-0.4009,0.9011,2.1093,-0.08959,0.25941,1.50455
0.9573,-1.0215,-0.498,-0.111,-1.451,2.7854,0.50135,0.45138,0.30542
1.3759,1.2042,1.2682,0.8152,1.2028,2.3305,0.12222,-0.15563,0.74886
0.3578,-0.1412,0.8869,-0.081,-0.8962,1.9081,0.19253,-0.08821,0.94204
0.8075,-1.2074,-0.1265,-0.794,0.9346,-1.3486,0.50799,0.3139,0.34983
2.0667,-0.5018,-0.5532,-0.3547,-0.6113,-2.3939,-0.23165,0.74354,0.65945
0.3535,-0.1539,0.1297,0.1767,-1.0683,-2.8133,0.4811,0.01759,1.03682
2.1369,1.4686,1.5478,1.2898,-1.336,-3.0881,0.14274,0.05515,0.67549
2.6312,0.3293,-1.1651,1.2018,-1.3526,2.9548,-0.5746,0.49367,1.08596
0.0598,0.6129,-0.8831,-0.634,0.6361,2.8594,0.49612,-0.12062,1.33093
2.7851,-0.436,1.2198,0.7467,0.3912,-1.4676,-0.04223,0.17584,0.80962
0.7205,1.3548,0.0286,0.2023,1.4052,-1.2824,-0.14742,-0.3291,1.19399
0.8144,1.1615,0.0481,-1.2624,0.3717,-2.0211,-0.04523,-0.26657,1.23955
2.5118,1.5478,-0.5938,-0.9825,0.1441,3.137,0.35552,-0.07343,1.36984
2.6352,-1.3256,0.3555,-0.538,-0.3772,0.9829,-0.34042,0.36039,0.48026
2.7751,0.9964,-0.8987,0.5664,1.1103,-1.0547,-0.1448,0.2163,1.46606
1.1553,0.8992,0.3699,0.5566,0.3252,-3.0785,0.08175,-0.18644,1.15754
2.985,0.4649,0.9627,-1.3257,-0.5877,2.0197,0.06144,0.14221,0.94713
2.5124,0.7266,0.2589,-1.296,0.2821,0.0588,0.1093,0.10603,1.21416
1.1257,1.3153,0.3173,1.301,0.2281,-0.5351,-0.00368,-0.35623,1.0832
0.5227,-0.052,1.5207,0.9124,0.8941,3.0521,0.07814,-0.12815,0.71359
3.1334,-0.5607,1.3035,-1.559,0.7522,0.1321,-0.08736,0.15077,0.77399
2.5012,-0.1305,0.1974,0.6434,0.0868,-1.4104,-0.24674,0.37099,1.04783
0.6843,0.4784,0.0499,-0.4536,-0.5396,-0.4582,0.23681,-0.00046,1.25378
0.5527,0.6553,-1.1074,-1.2068,0.8607,-0.7357,0.54625,0.16064,1.31452
2.9898,0.3693,0.3579,1.147,1.3369,-0.9015,-0.10661,0.1681,1.16376
0.2335,0.7355,0.245,-0.8394,-1.2353,0.3784,0.00821,-0.15228,1.21876
2.5955,-0.0157,0.2075,-1.3572,1.0276,2.5554,-0.23771,0.32006,1.0928
2.6974,0.003,1.5407,-0.7816,-0.4357,-1.4967,0.06384,0.13579,0.70512
1.8473,-0.5849,-1.4809,1.0254,-0.8383,-2.5333,-0.05503,0.74357,0.21044
1.3974,-0.5746,0.2839,1.1939,-1.1139,2.3105,0.23504,0.4722,0.84501
0.3511,-1.5613,-1.0817,0.6076,-0.1021,0.156,0.2326,-0.0746,-0.14889
2.3901,-1.3131,-0.862,-0.153,-0.4515,-2.4254,-0.22916,0.41949,-0.00776
0.917,-1.2181,0.5722,1.5089,0.1113,2.7338,0.37776,0.24631,0.59921
0.221,-1.3417,1.1379,0.9718,-1.5652,1.3002,0.23323,-0.10139,0.67007
1.7545,0.8581,1.3339,-0.6048,-0.7978,1.1357,0.16225,-0.05184,0.76372
2.3444,-0.9767,-0.2808,-0.9492,0.7606,-2.2966,-0.35293,0.5761,0.42778
0.2148,0.1518,1.2045,0.6202,0.9009,-2.0685,0.04102,-0.14463,0.84887
2.0168,0.1479,-0.4077,-0.4801,0.1635,-3.0787,-0.10517,0.56781,1.14756
0.4283,1.1949,0.8559,1.1877,1.4085,2.9121,-0.15042,-0.23362,0.89209
2.9929,-0.5769,-0.3188,-1.3028,1.1203,2.4871,-0.6816,0.25383,0.69033
0.7929,-1.0495,0.7051,1.3045,1.2984,-1.7102,0.37353,0.16536,0.69697
2.4369,-0.1837,-0.075,0.243,1.1632,-0.7854,-0.32532,0.4736,1.00519
2.7278,-0.3585,-0.0373,-0.9338,-1.1147,0.3487,-0.47947,0.37444,0.91091
0.0172,-0.3127,-0.6765,-0.5679,-1.3531,1.9159,0.78528,-0.13656,0.75925
